"amount","project_number","report_fy","budget_cycle","fund_type","fund_number","asset_owning_dept","project_name","account","account_number"
"2000000","S24002","25","proposed","Water Fund","C700010","Public Utilities","Barret Dam Outlet Bulkhead & Drawdown Improvements","Undistributed Budget","512117"
"2000000","S24003","25","proposed","Water Fund","C700010","Public Utilities","Lower Otay Dam Outlet Improvements","Undistributed Budget","512117"
"474362","ACC00001","25","proposed","Refuse Disposal Fund","C700040","Stormwater","Watershed CIP","Undistributed Budget","512117"
"8650000","AFA00001","25","proposed","Refuse Disposal Fund","C700040","Environmental Services","Minor Improvements to Landfills","Undistributed Budget","512117"
"750000","L17000","25","proposed","Refuse Disposal Fund","C700040","Environmental Services","Miramar Landfill Facility Improvements","Undistributed Budget","512117"
"2000000","AEA00002","25","proposed","Golf Course Enterprise Fund","C700044","Parks & Recreation","Balboa Park Golf Course","Undistributed Budget","512117"
"0","ABT00001","11","adopted","Deferred Capital Projects Bonds","C400848","General Services","City Facilities Improvements","Undistributed Budget","512117"
"0","ABT00001","11","adopted","Deferred Capital Projects Bonds","C400853","General Services","City Facilities Improvements","Undistributed Budget","512117"
"0","ABT00001","11","adopted","Deferred Capital Projects Bonds","C400859","General Services","City Facilities Improvements","Undistributed Budget","512117"
"0","ABT00001","11","adopted","Deferred Capital Projects Bonds","C400860","General Services","City Facilities Improvements","Undistributed Budget","512117"
"38000","S10032","11","adopted","Maintenance Assessment Districts","C200043","Parks & Recreation","Rancho Penasquitos Monument Signs","Undistributed Budget","512117"
"100000","S00826","11","adopted","Maintenance Assessment Districts","C200050","Parks & Recreation","El Cajon Blvd Streetscape Improvements","Undistributed Budget","512117"
"165000","S10038","11","adopted","Maintenance Assessment Districts","C200060","Parks & Recreation","Del Mar Terrace Street Improvements","Undistributed Budget","512117"
"25000","S10040","11","adopted","Maintenance Assessment Districts","C200064","Parks & Recreation","North Park/Main St Sidewalk Improvements","Undistributed Budget","512117"
"5000","S10054","11","adopted","Maintenance Assessment Districts","C200064","Parks & Recreation","Switzer Canyon Bridge Enhancement Prog","Undistributed Budget","512117"
"300000","S11006","11","adopted","Maintenance Assessment Districts","C200070","Parks & Recreation","Torrey Hills SDG&E Easement Enhancement","Undistributed Budget","512117"
"150000","S11009","11","adopted","Maintenance Assessment Districts","C200074","Parks & Recreation","Torrey Highlands Community ID & Enhance","Undistributed Budget","512117"
"100000","S00820","11","adopted","Maintenance Assessment Districts","C200077","Parks & Recreation","Talmadge Street Improvements","Undistributed Budget","512117"
"229000","S11007","11","adopted","Maintenance Assessment Districts","C200103","Parks & Recreation","Bird Rock Median Lighting","Undistributed Budget","512117"
"170000","S00611","11","adopted","Environmental Growth Funds","C200110","Parks & Recreation","Old Mission Dam Preservation","Undistributed Budget","512117"
"750000","ABG00001","11","adopted","Stadium Fund","C200116","Citywide","Stadium","Undistributed Budget","512117"
"7500000","AID00001","11","adopted","Utilities Undergrounding Program Fund","C200218","Transportation","Utilities Undergrounding Program","Undistributed Budget","512117"
"450000","S11034","11","adopted","Concourse & Parking Garages Operating Fund","C200300","Real Estate Assets","Evan V. Jones Parkade Parking Equipment Upgrade","Undistributed Budget","512117"
"872678","AGF00004","11","adopted","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"2500000","AGF00005","11","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Regional Park Improvements","Undistributed Budget","512117"
"156243","S11008","11","adopted","Maintenance Assessment Districts","C200614","Parks & Recreation","Mission Hills Historic Street Lighting","Undistributed Budget","512117"
"65000","S10039","11","adopted","Maintenance Assessment Districts","C200620","Parks & Recreation","Carmel Country Road Median Improvements","Undistributed Budget","512117"
"125000","S10035","11","adopted","Maintenance Assessment Districts","C200622","Parks & Recreation","Pomerado Median Improve-N of R Bernardo","Undistributed Budget","512117"
"30000","S10037","11","adopted","Maintenance Assessment Districts","C200624","Parks & Recreation","Camino Santa Fe Median Improvements","Undistributed Budget","512117"
"4000","S10032","11","adopted","Maintenance Assessment Districts","C200628","Parks & Recreation","Rancho Penasquitos Monument Signs","Undistributed Budget","512117"
"13828","S00756","11","adopted","Park Service District Funds","C400059","Parks & Recreation","Azalea Neighborhood Park","Undistributed Budget","512117"
"450614","S00634","11","adopted","Facilities Benefit Assessments","C400083","Parks & Recreation","Hilltop Community Park Development Phase 1","Undistributed Budget","512117"
"350000","S10031","11","adopted","Facilities Benefit Assessments","C400083","Parks & Recreation","Views West NP ADA Upgrades","Undistributed Budget","512117"
"52858","S00659","11","adopted","Facilities Benefit Assessments","C400088","Parks & Recreation","Carmel Grove Mini Park Play Area Upgrade","Undistributed Budget","512117"
"712000","S00969","11","adopted","Facilities Benefit Assessments","C400088","Stormwater","Carmel Country Road Low Flow Channel","Undistributed Budget","512117"
"596366","S11016","11","adopted","Facilities Benefit Assessments","C400088","Parks & Recreation","Del Mar Trails Park Play Area Upgrades","Undistributed Budget","512117"
"480858","S11017","11","adopted","Facilities Benefit Assessments","C400088","Parks & Recreation","Windwood II MP Play Area Upgrades","Undistributed Budget","512117"
"602072","S11020","11","adopted","Facilities Benefit Assessments","C400088","Parks & Recreation","Torrey Highlands Park Play Area Upgrades","Undistributed Budget","512117"
"6148447","S10015","11","adopted","Facilities Benefit Assessments","C400094","Transportation","Torrey Meadows Drive Overcrossing","Undistributed Budget","512117"
"253000","S00652","11","adopted","Facilities Benefit Assessments","C400095","Parks & Recreation","Rancho Encantada Park #2","Undistributed Budget","512117"
"150000","S11011","11","adopted","Development Impact Fees","C400098","Parks & Recreation","Tierrasanta CP Sports Field Lighting","Undistributed Budget","512117"
"700000","S11012","11","adopted","Development Impact Fees","C400099","Parks & Recreation","Rancho Bernardo CP Sports Field Lights","Undistributed Budget","512117"
"200000","S11039","11","adopted","Development Impact Fees","C400099","Transportation","Grandee Pl & Pomerado Rd Traffic Signal","Undistributed Budget","512117"
"200000","S11040","11","adopted","Development Impact Fees","C400099","Transportation","Bernardo Trail Dr & Pomerado Rd TS","Undistributed Budget","512117"
"100000","S11047","11","adopted","Development Impact Fees","C400099","Transportation","Camino Del Norte Sidewalk","Undistributed Budget","512117"
"300000","S00992","11","adopted","Development Impact Fees","C400109","Parks & Recreation","Central Avenue MP Acquisition/Development","Undistributed Budget","512117"
"700000","S10080","11","adopted","Development Impact Fees","C400109","Parks & Recreation","Marshall Elementary School Joint Use Improvements","Undistributed Budget","512117"
"75000","S11001","11","adopted","Development Impact Fees","C400111","Transportation","34th Street Storm Drain","Undistributed Budget","512117"
"200000","S11049","11","adopted","Development Impact Fees","C400112","Transportation","North Park Obstructed Curb Ramp Barrier Removal","Undistributed Budget","512117"
"5000","S00646","11","adopted","Development Impact Fees","C400113","Parks & Recreation","Carson Elementary School Joint Use","Undistributed Budget","512117"
"120000","S00973","11","adopted","Development Impact Fees","C400113","Parks & Recreation","Montgomery Academy JU Improvements","Undistributed Budget","512117"
"75000","S11003","11","adopted","Development Impact Fees","C400113","Stormwater","Coolidge Street Storm Drain","Undistributed Budget","512117"
"250000","S11042","11","adopted","Development Impact Fees","C400114","Transportation","I-805/Home Avenue Ramp Improvements","Undistributed Budget","512117"
"250000","S00721","11","adopted","Development Impact Fees","C400115","Transportation","Sports Arena Blvd-Rosecrans to Midway","Undistributed Budget","512117"
"900000","S11045","11","adopted","Development Impact Fees","C400115","Transportation","Pacific Hwy Curb Ramp Barrier Removal","Undistributed Budget","512117"
"63000","S00800","11","adopted","Development Impact Fees","C400116","Library","San Carlos Branch Library","Undistributed Budget","512117"
"62000","S11018","11","adopted","Development Impact Fees","C400116","Parks & Recreation","Lake Murray CP Play Area Expansion","Undistributed Budget","512117"
"550000","S10119","11","adopted","Development Impact Fees","C400117","Fire-Rescue","North Pacific Beach Lifeguard Station","Undistributed Budget","512117"
"50000","S11048","11","adopted","Development Impact Fees","C400117","Transportation","Pacific Beach Curb Ramp Barrier Removal","Undistributed Budget","512117"
"150000","S11004","11","adopted","Development Impact Fees","C400118","Transportation","San Remo Way Storm Drain","Undistributed Budget","512117"
"750000","S00970","11","adopted","Development Impact Fees","C400120","Parks & Recreation","Memorial Pool Improvements","Undistributed Budget","512117"
"775000","S11019","11","adopted","Development Impact Fees","C400120","Parks & Recreation","Mountain View NP Area Upgrades","Undistributed Budget","512117"
"490000","S11030","11","adopted","Development Impact Fees","C400120","Parks & Recreation","Gompers NP - Play Area Upgrades","Undistributed Budget","512117"
"900000","S11033","11","adopted","Development Impact Fees","C400120","Transportation","Holly Dr. Street Improvements","Undistributed Budget","512117"
"80000","S00678","11","adopted","Development Impact Fees","C400121","Parks & Recreation","Birney Elementary School Joint Use","Undistributed Budget","512117"
"170000","S00804","11","adopted","Development Impact Fees","C400121","Library","Mission Hills Branch Library","Undistributed Budget","512117"
"75000","S11002","11","adopted","Development Impact Fees","C400121","Stormwater","Hayes Ave Storm Drain","Undistributed Budget","512117"
"75000","S11035","11","adopted","Development Impact Fees","C400121","Transportation","Park Blvd Bicycle Facility","Undistributed Budget","512117"
"50000","S11038","11","adopted","Development Impact Fees","C400121","Transportation","Congress Street-San Diego Avenue Bicycle Facility","Undistributed Budget","512117"
"80000","S00754","11","adopted","Development Impact Fees","C400125","Parks & Recreation","Montgomery Waller Community Park","Undistributed Budget","512117"
"295000","S11051","11","adopted","Development Impact Fees","C400125","Parks & Recreation","Silver Wing NP Sports Field/Lighting","Undistributed Budget","512117"
"750000","S11013","11","adopted","Development Impact Fees","C400126","Parks & Recreation","San Ysidro Athletic Area/Larsen Fld Lght","Undistributed Budget","512117"
"60000","S11005","11","adopted","Development Impact Fees","C400127","Transportation","Manhassett Dr Storm Drain System Upgrade","Undistributed Budget","512117"
